;;;;;
Judet; Rata abandon ;;;;
Alba; 1,00 ;;;;
Arad; 1,90 ;;;;
Arges; 0,60 ;;;;
Bacau; 1,00 ;;;;
Bihor; 1,00 ;;;;
Bistrita-Nasaud; 0,40 ;;;;
Botosani; 0,40 ;;;;
Braila; 0,40 ;;;;
Brasov; 2,80 ;;;;
Buzau; -   ;;;;
Calarasi; 3,10 ;;;;
Caras-Severin; 1,70 ;;;;
Cluj; 0,70 ;;;;
Constanta; 1,70 ;;;;
Covasna; 2,90 ;;;;
Dambovita; 0,20 ;;;;
Dolj; 2,00 ;;;;
Galati; 1,60 ;;;;
Giurgiu; 1,50 ;;;;
Gorj; 0,50 ;;;;
Harghita; 1,60 ;;;;
Hunedoara; 0,40 ;;;;
Ialomita; 1,10 ;;;;
Iasi; 0,90 ;;;;
Ilfov; 1,20 ;;;;
Maramures; 1,10 ;;;;
Mehedinti; 1,40 ;;;;
Municipiul Bucuresti; 0,80 ;;;;
Mures; 2,30 ;;;;
Neamt; 2,50 ;;;;
Olt; 1,10 ;;;;
Prahova; 0,70 ;;;;
Salaj; 1,40 ;;;;
Satu Mare; 0,90 ;;;;
Sibiu; 1,80 ;;;;
Suceava; 0,70 ;;;;
Teleorman; 0,90 ;;;;
Timis; 1,10 ;;;;
Tulcea; 1,00 ;;;;
Valcea; 1,20 ;;;;
Vaslui; 1,10 ;;;;
Vrancea; 2,00 ;;;;
;;;;;
