;;;;;
Judet; Absolventi liceu ;;;;
Alba; 2.723,00 ;;;;
Arad; 3.094,00 ;;;;
Arges; 4.970,00 ;;;;
Bacau; 4.339,00 ;;;;
Bihor; 4.211,00 ;;;;
Bistrita-Nasaud; 2.291,00 ;;;;
Botosani; 3.235,00 ;;;;
Braila; 2.089,00 ;;;;
Brasov; 3.484,00 ;;;;
Buzau; 2.881,00 ;;;;
Calarasi; 1.407,00 ;;;;
Caras-Severin; 2.031,00 ;;;;
Cluj; 4.550,00 ;;;;
Constanta; 5.390,00 ;;;;
Covasna; 1.141,00 ;;;;
Dambovita; 3.247,00 ;;;;
Dolj; 4.993,00 ;;;;
Galati; 4.062,00 ;;;;
Giurgiu; 1.174,00 ;;;;
Gorj; 3.152,00 ;;;;
Harghita; 2.028,00 ;;;;
Hunedoara; 2.941,00 ;;;;
Ialomita; 1.747,00 ;;;;
Iasi; 5.758,00 ;;;;
Ilfov; 1.597,00 ;;;;
Maramures; 4.002,00 ;;;;
Mehedinti; 2.158,00 ;;;;
Municipiul Bucuresti; 16.892,00 ;;;;
Mures; 3.566,00 ;;;;
Neamt; 3.858,00 ;;;;
Olt; 3.375,00 ;;;;
Prahova; 5.312,00 ;;;;
Salaj; 1.651,00 ;;;;
Satu Mare; 2.142,00 ;;;;
Sibiu; 2.559,00 ;;;;
Suceava; 5.703,00 ;;;;
Teleorman; 2.109,00 ;;;;
Timis; 4.983,00 ;;;;
Tulcea; 1.298,00 ;;;;
Valcea; 2.685,00 ;;;;
Vaslui; 2.856,00 ;;;;
Vrancea; 2.414,00 ;;;;
;;;;;
