;;;;;
Judet; Laboratoare scolare ;;;;
Alba; 294,00 ;;;;
Arad; 381,00 ;;;;
Arges; 525,00 ;;;;
Bacau; 465,00 ;;;;
Bihor; 429,00 ;;;;
Bistrita-Nasaud; 240,00 ;;;;
Botosani; 257,00 ;;;;
Braila; 225,00 ;;;;
Brasov; 357,00 ;;;;
Buzau; 324,00 ;;;;
Calarasi; 187,00 ;;;;
Caras-Severin; 280,00 ;;;;
Cluj; 555,00 ;;;;
Constanta; 498,00 ;;;;
Covasna; 152,00 ;;;;
Dambovita; 351,00 ;;;;
Dolj; 606,00 ;;;;
Galati; 397,00 ;;;;
Giurgiu; 149,00 ;;;;
Gorj; 352,00 ;;;;
Harghita; 243,00 ;;;;
Hunedoara; 316,00 ;;;;
Ialomita; 192,00 ;;;;
Iasi; 531,00 ;;;;
Ilfov; 197,00 ;;;;
Maramures; 288,00 ;;;;
Mehedinti; 211,00 ;;;;
Municipiul Bucuresti; 1.210,00 ;;;;
Mures; 366,00 ;;;;
Neamt; 397,00 ;;;;
Olt; 248,00 ;;;;
Prahova; 543,00 ;;;;
Salaj; 291,00 ;;;;
Satu Mare; 265,00 ;;;;
Sibiu; 303,00 ;;;;
Suceava; 478,00 ;;;;
Teleorman; 198,00 ;;;;
Timis; 511,00 ;;;;
Tulcea; 237,00 ;;;;
Valcea; 320,00 ;;;;
Vaslui; 264,00 ;;;;
Vrancea; 259,00 ;;;;
;;;;;
