Judet; Populatie  ;;;;;;;
Alba; 371.285,00 ;;;;;;;
Arad; 468.341,00 ;;;;;;;
Arges; 627.025,00 ;;;;;;;
Bacau; 734.946,00 ;;;;;;;
Bihor; 614.994,00 ;;;;;;;
Bistrita-Nasaud; 327.225,00 ;;;;;;;
Botosani; 456.165,00 ;;;;;;;
Braila; 336.461,00 ;;;;;;;
Brasov; 639.832,00 ;;;;;;;
Buzau; 456.263,00 ;;;;;;;
Calarasi; 303.859,00 ;;;;;;;
Caras-Severin; 312.339,00 ;;;;;;;
Cluj; 740.025,00 ;;;;;;;
Constanta; 761.135,00 ;;;;;;;
Covasna; 224.992,00 ;;;;;;;
Dambovita; 515.362,00 ;;;;;;;
Dolj; 683.162,00 ;;;;;;;
Galati; 631.278,00 ;;;;;;;
Giurgiu; 266.424,00 ;;;;;;;
Gorj; 352.201,00 ;;;;;;;
Harghita; 328.979,00 ;;;;;;;
Hunedoara; 448.559,00 ;;;;;;;
Ialomita; 283.545,00 ;;;;;;;
Iasi; 976.570,00 ;;;;;;;
Ilfov; 466.197,00 ;;;;;;;
Maramures; 518.383,00 ;;;;;;;
Mehedinti; 274.879,00 ;;;;;;;
Municipiul Bucuresti; 2.163.447,00 ;;;;;;;
Mures; 587.980,00 ;;;;;;;
Neamt; 562.897,00 ;;;;;;;
Olt; 426.114,00 ;;;;;;;
Prahova; 780.172,00 ;;;;;;;
Salaj; 242.410,00 ;;;;;;;
Satu Mare; 384.891,00 ;;;;;;;
Sibiu; 469.234,00 ;;;;;;;
Suceava; 767.595,00 ;;;;;;;
Teleorman; 360.516,00 ;;;;;;;
Timis; 761.109,00 ;;;;;;;
Tulcea; 231.622,00 ;;;;;;;
Valcea; 392.157,00 ;;;;;;;
Vaslui; 507.581,00 ;;;;;;;
Vrancea; 380.453,00 ;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
