;;;;;
Judet; Saracie ;;;;
Alba; 4.946,00 ;;;;
Arad; 4.838,00 ;;;;
Arges; 5.225,00 ;;;;
Bacau; 4.752,00 ;;;;
Bihor; 4.477,00 ;;;;
Bistrita-Nasaud; 4.259,00 ;;;;
Botosani; 4.383,00 ;;;;
Braila; 4.369,00 ;;;;
Brasov; 5.414,00 ;;;;
Buzau; 4.493,00 ;;;;
Calarasi; 4.591,00 ;;;;
Caras-Severin; 4.496,00 ;;;;
Cluj; 6.504,00 ;;;;
Constanta; 4.903,00 ;;;;
Covasna; 4.322,00 ;;;;
Dambovita; 4.631,00 ;;;;
Dolj; 5.070,00 ;;;;
Galati; 4.744,00 ;;;;
Giurgiu; 4.780,00 ;;;;
Gorj; 4.877,00 ;;;;
Harghita; 4.358,00 ;;;;
Hunedoara; 4.396,00 ;;;;
Ialomita; 4.550,00 ;;;;
Iasi; 5.778,00 ;;;;
Ilfov; 5.688,00 ;;;;
Maramures; 4.406,00 ;;;;
Mehedinti; 4.443,00 ;;;;
Municipiul Bucuresti; 7.709,00 ;;;;
Mures; 5.066,00 ;;;;
Neamt; 4.383,00 ;;;;
Olt; 4.899,00 ;;;;
Prahova; 5.191,00 ;;;;
Salaj; 4.615,00 ;;;;
Satu Mare; 4.541,00 ;;;;
Sibiu; 5.576,00 ;;;;
Suceava; 4.429,00 ;;;;
Teleorman; 4.269,00 ;;;;
Timis; 6.241,00 ;;;;
Tulcea; 4.709,00 ;;;;
Valcea; 4.350,00 ;;;;
Vaslui; 4.424,00 ;;;;
Vrancea; 4.299,00 ;;;;
;;;;;
